,ranking,f_0_rank_descending,f_0_values,f_0_una,f_1_rank_descending,f_1_values,f_1_una,f_2_rank_descending,f_2_values,f_2_una,f_3_rank_descending,f_3_values,f_3_una,f_5_rank_descending,f_5_values,f_5_una,f_10_rank_descending,f_10_values,f_10_una
0,1,"{0, 1, 3}",1.932238007284079,True,"{0, 1, 3}",2.432238007284079,True,"{0, 1, 3}",2.932238007284079,True,"{0, 1, 3}",3.432238007284079,True,"{0, 1, 3}",4.432238007284079,True,"{0, 3, 4, 5}",6.9592891830153185,True
1,2,"{0, 1, 3, 11}",1.9233868408203125,True,"{0, 3, 4, 6, 11}",2.408149849115505,False,"{0, 3, 4, 6, 11}",2.908149849115505,False,"{0, 3, 4, 6, 11}",3.408149849115505,False,"{0, 3, 4, 5}",4.418305576457941,True,"{0, 1, 4}",6.943213770491803,True
2,3,"{0, 3, 4, 6, 11}",1.9081498491155047,False,"{0, 1, 3, 11}",2.4077618408203127,True,"{0, 3, 4, 5}",2.893715412523515,True,"{0, 3, 4, 5}",3.4019121338349905,True,"{0, 3, 4, 6, 11}",4.408149849115505,False,"{0, 1, 3}",6.932238007284079,True
3,4,"{0, 1, 3, 5}",1.894925538752363,True,"{0, 3, 4, 5}",2.38551869121204,True,"{0, 1, 3, 11}",2.8921368408203127,True,"{0, 1, 4}",3.3858367213114753,True,"{0, 1, 4}",4.402230163934426,True,"{0, 3, 5, 6, 10, 11}",6.923184574039237,False
4,5,"{0, 1, 3, 4}",1.8899674760743104,True,"{0, 3, 4, 5, 11}",2.3748843764172336,True,"{0, 1, 4}",2.87764,True,"{0, 1, 3, 11}",3.3765118408203127,True,"{0, 3, 5, 6, 10, 11}",4.382200967481859,False,"{0, 3, 4, 6, 11}",6.908149849115505,True
5,6,"{0, 1, 3, 5, 11}",1.8867212080936322,True,"{0, 1, 4}",2.3694432786885247,True,"{0, 3, 4, 5, 11}",2.8669478684807257,True,"{0, 3, 5, 6, 10, 11}",3.3658075248589086,False,"{0, 3, 4, 8, 10}",4.345762141897339,False,"{0, 3, 4, 8, 10}",6.886745748454716,False
6,7,"{0, 1, 3, 4, 11}",1.885011584,True,"{0, 3, 5, 6, 10, 11}",2.349414082235958,False,"{0, 3, 5, 6, 10, 11}",2.8576108035474332,False,"{0, 3, 4, 5, 11}",3.359011360544218,True,"{0, 1, 3, 11}",4.345261840820313,True,"{0, 3, 4, 9, 10}",6.876276627250739,False
7,8,"{0, 3, 4, 5, 11}",1.8828208843537415,True,"{0, 3, 4, 6, 10}",2.346047641723356,False,"{0, 3, 4, 6, 10}",2.838111133786848,False,"{0, 3, 4, 6, 10}",3.33017462585034,False,"{0, 3, 4, 5, 11}",4.3431383446712015,True,"{0, 3, 4, 7, 11}",6.826957674297606,False
8,9,"{0, 3, 4, 5}",1.8773219699005643,True,"{0, 1, 3, 5}",2.3442009010712033,True,"{0, 1, 11, 4}",2.833804807256236,True,"{0, 3, 4, 8, 10}",3.3293686992743883,False,"{0, 3, 4, 9, 10}",4.335293020693362,False,"{0, 3, 5, 6, 8, 11}",6.822563852757544,False
9,10,"{0, 3, 4, 5, 6}",1.8733719247048342,False,"{0, 1, 11, 4}",2.3417413151927438,True,"{0, 3, 4, 7, 11}",2.826957674297607,False,"{0, 3, 4, 7, 11}",3.326957674297607,False,"{0, 3, 4, 7, 11}",4.326957674297606,False,"{0, 3, 5, 7, 10, 11}",6.819490642300456,False
10,11,"{0, 3, 4, 5, 6, 11}",1.8698716257088848,False,"{0, 1, 10, 3}",2.339978501775148,False,"{0, 3, 5, 6, 8, 11}",2.8225638527575443,False,"{0, 1, 11, 4}",3.325868299319728,True,"{0, 3, 5, 6, 8, 11}",4.322563852757544,False,"{0, 3, 4, 5, 11}",6.803455804988662,True
11,12,"{0, 1, 3, 6}",1.8636354022491348,False,"{0, 3, 4, 5, 6}",2.3360584918690135,False,"{0, 3, 4, 8, 10}",2.821171977962913,False,"{0, 3, 5, 6, 8, 11}",3.3225638527575443,False,"{0, 3, 4, 6, 10}",4.314301609977324,False,"{0, 3, 5, 6, 9, 11}",6.80131785900104,False
12,13,"{0, 1, 10, 3}",1.863055424852071,False,"{0, 3, 4, 5, 10}",2.3299021728515625,False,"{0, 1, 10, 3}",2.816901578698225,False,"{0, 3, 4, 9, 10}",3.318899578070411,False,"{0, 1, 11, 4}",4.309995283446712,True,"{0, 3, 4, 6, 7, 11}",6.797666186264308,False
13,14,"{0, 1, 4}",1.8612465573770491,True,"{0, 3, 4, 7, 11}",2.326957674297607,False,"{0, 3, 4, 5, 10}",2.8142771728515625,False,"{0, 3, 5, 6, 9, 11}",3.3013178590010406,False,"{0, 3, 5, 6, 9, 11}",4.30131785900104,False,"{0, 4, 5, 6, 8, 11}",6.793665189465197,False
14,15,"{0, 1, 3, 4, 5}",1.8555236328125,True,"{0, 3, 4, 6, 10, 11}",2.3240763005917158,False,"{0, 3, 4, 9, 10}",2.810702856758936,False,"{0, 3, 4, 5, 10}",3.2986521728515625,False,"{0, 3, 4, 6, 7, 11}",4.297666186264308,False,"{0, 1, 5, 8}",6.792396820747111,False
15,16,"{0, 3, 4, 6, 10}",1.853984149659864,False,"{0, 1, 3, 5, 11}",2.323340926403491,True,"{0, 3, 5, 6, 9, 11}",2.8013178590010406,False,"{0, 3, 4, 6, 7, 11}",3.297666186264308,False,"{0, 3, 5, 7, 10, 11}",4.27850703574308,False,"{0, 3, 4, 8, 9, 10}",6.776712295081968,False
16,17,"{0, 1, 3, 10, 11}",1.8519708910670527,False,"{0, 3, 5, 6, 8, 11}",2.3225638527575443,False,"{0, 3, 4, 6, 8}",2.8012618017578124,False,"{0, 1, 10, 3}",3.293824655621302,False,"{0, 3, 4, 5, 10}",4.267402172851563,False,"{0, 3, 4, 6, 10}",6.774619070294785,False
17,18,"{0, 1, 3, 6, 11}",1.8517573265306122,False,"{0, 1, 3, 6}",2.3195177551903114,False,"{0, 3, 4, 6, 10, 11}",2.8009993775147928,False,"{0, 3, 4, 6, 8}",3.2856368017578124,False,"{0, 3, 4, 8, 10, 11}",4.262430045351474,False,"{0, 1, 11, 4}",6.770312743764173,True
18,19,"{0, 1, 3, 4, 5, 11}",1.8509006915526471,True,"{0, 3, 4, 5, 6, 11}",2.3191469880277253,False,"{0, 3, 4, 5, 6}",2.7987450590331924,False,"{0, 3, 4, 8, 10, 11}",3.2783030612244897,False,"{0, 3, 4, 6, 8}",4.254386801757812,False,"{0, 1, 3, 11}",6.767136840820313,True
19,20,"{0, 1, 11, 4}",1.8496778231292517,True,"{0, 1, 3, 8}",2.316908085399449,False,"{0, 3, 4, 6, 7, 11}",2.797666186264308,False,"{0, 3, 4, 6, 10, 11}",3.27792245443787,False,"{0, 4, 5, 6, 8, 11}",4.252681582907821,False,"{0, 4, 5, 6, 9, 11}",6.763918024724536,False
20,21,"{0, 1, 3, 8}",1.8472111157024793,False,"{0, 3, 4, 6, 8}",2.3168868017578124,False,"{0, 1, 3, 5}",2.793476263390044,True,"{0, 3, 4, 6, 9}",3.2724400244140623,False,"{0, 1, 5, 8}",4.251413214189734,False,"{0, 1, 5, 9}",6.7568099355012095,False
21,22,"{0, 3, 4, 6, 10, 11}",1.847153223668639,False,"{0, 3, 4, 5, 10, 11}",2.314990564738292,False,"{0, 3, 4, 6, 9}",2.7880650244140623,False,"{0, 3, 4, 9, 10, 11}",3.2661969387755105,False,"{0, 3, 4, 9, 10, 11}",4.250323922902495,False,"{0, 3, 5, 6, 7, 10, 11}",6.754371083042193,False
22,23,"{0, 3, 4, 5, 10}",1.8455271728515625,False,"{0, 1, 3, 10, 11}",2.314657458231232,False,"{0, 1, 3, 8}",2.7866050550964188,False,"{0, 3, 5, 7, 10, 11}",3.262113593120129,False,"{0, 1, 10, 3}",4.247670809467456,False,"{0, 3, 4, 8, 10, 11}",6.722747505668934,False
23,24,"{0, 3, 4, 5, 10, 11}",1.8452935950413223,False,"{0, 1, 3, 4}",2.314625010320886,True,"{0, 3, 4, 8, 10, 11}",2.7862395691609976,False,"{0, 3, 4, 5, 6}",3.2614316261973713,False,"{0, 3, 4, 6, 9}",4.241190024414062,False,"{0, 3, 5, 7, 8, 11}",6.714503446930281,False
