,ranking,f_0_rank_descending,f_1_rank_descending,f_2_rank_descending,f_3_rank_descending,f_5_rank_descending,f_10_rank_descending,f_0_s1_robust,f_0_s2_robust,f_1_s1_robust,f_1_s2_robust,f_2_s1_robust,f_2_s2_robust,f_3_s1_robust,f_3_s2_robust,f_5_s1_robust,f_5_s2_robust,f_10_s1_robust,f_10_s2_robust
0,1,"{0, 1, 3}","{0, 1, 3}","{0, 1, 3}","{0, 1, 3}","{0, 1, 3}","{0, 3, 4, 5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,"{0, 1, 3, 11}","{0, 3, 4, 6, 11}","{0, 3, 4, 6, 11}","{0, 3, 4, 6, 11}","{0, 3, 4, 5}","{0, 1, 4}",0.25,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,"{0, 3, 4, 6, 11}","{0, 1, 3, 11}","{0, 3, 4, 5}","{0, 3, 4, 5}","{0, 3, 4, 6, 11}","{0, 1, 3}",0.0,0.0,0.25,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,"{0, 1, 3, 5}","{0, 3, 4, 5}","{0, 1, 3, 11}","{0, 1, 4}","{0, 1, 4}","{0, 3, 5, 6, 10, 11}",0.25,0.09999999999999998,0.0,0.0,0.25,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
4,5,"{0, 1, 3, 4}","{0, 3, 4, 5, 11}","{0, 1, 4}","{0, 1, 3, 11}","{0, 3, 5, 6, 10, 11}","{0, 3, 4, 6, 11}",0.5,0.19999999999999996,0.19999999999999996,0.06666666666666665,0.0,0.0,0.25,0.09999999999999998,0.0,0.0,0.0,0.0
5,6,"{0, 1, 3, 5, 11}","{0, 1, 4}","{0, 3, 4, 5, 11}","{0, 3, 5, 6, 10, 11}","{0, 3, 4, 8, 10}","{0, 3, 4, 8, 10}",0.4,0.19999999999999996,0.0,0.0,0.19999999999999996,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
6,7,"{0, 1, 3, 4, 11}","{0, 3, 5, 6, 10, 11}","{0, 3, 5, 6, 10, 11}","{0, 3, 4, 5, 11}","{0, 1, 3, 11}","{0, 3, 4, 9, 10}",0.6,0.33333333333333337,0.0,0.0,0.0,0.0,0.19999999999999996,0.06666666666666665,0.25,0.09999999999999998,0.0,0.0
7,8,"{0, 3, 4, 5, 11}","{0, 3, 4, 6, 10}","{0, 3, 4, 6, 10}","{0, 3, 4, 6, 10}","{0, 3, 4, 5, 11}","{0, 3, 4, 7, 11}",0.19999999999999996,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.06666666666666665,0.0,0.0
8,9,"{0, 3, 4, 5}","{0, 1, 3, 5}","{0, 1, 11, 4}","{0, 3, 4, 8, 10}","{0, 3, 4, 9, 10}","{0, 3, 5, 6, 8, 11}",0.0,0.0,0.25,0.09999999999999998,0.25,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
9,10,"{0, 3, 4, 5, 6}","{0, 1, 11, 4}","{0, 3, 4, 7, 11}","{0, 3, 4, 7, 11}","{0, 3, 4, 7, 11}","{0, 3, 5, 7, 10, 11}",0.19999999999999996,0.06666666666666665,0.25,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,"{0, 3, 4, 5, 6, 11}","{0, 1, 10, 3}","{0, 3, 5, 6, 8, 11}","{0, 1, 11, 4}","{0, 3, 5, 6, 8, 11}","{0, 3, 4, 5, 11}",0.5,0.19047619047619047,0.25,0.09999999999999998,0.0,0.0,0.25,0.09999999999999998,0.0,0.0,0.19999999999999996,0.06666666666666665
11,12,"{0, 1, 3, 6}","{0, 3, 4, 5, 6}","{0, 3, 4, 8, 10}","{0, 3, 5, 6, 8, 11}","{0, 3, 4, 6, 10}","{0, 3, 5, 6, 9, 11}",0.25,0.09999999999999998,0.19999999999999996,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,"{0, 1, 10, 3}","{0, 3, 4, 5, 10}","{0, 1, 10, 3}","{0, 3, 4, 9, 10}","{0, 1, 11, 4}","{0, 3, 4, 6, 7, 11}",0.25,0.09999999999999998,0.19999999999999996,0.06666666666666665,0.25,0.09999999999999998,0.0,0.0,0.25,0.09999999999999998,0.33333333333333337,0.09523809523809523
13,14,"{0, 1, 4}","{0, 3, 4, 7, 11}","{0, 3, 4, 5, 10}","{0, 3, 5, 6, 9, 11}","{0, 3, 5, 6, 9, 11}","{0, 4, 5, 6, 8, 11}",0.0,0.0,0.0,0.0,0.19999999999999996,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
