,ranking,f_0_rank_descending,f_1_rank_descending,f_2_rank_descending,f_3_rank_descending,f_5_rank_descending,f_10_rank_descending,f_0_s1_robust,f_0_s2_robust,f_1_s1_robust,f_1_s2_robust,f_2_s1_robust,f_2_s2_robust,f_3_s1_robust,f_3_s2_robust,f_5_s1_robust,f_5_s2_robust,f_10_s1_robust,f_10_s2_robust
14,15,"{0, 1, 3, 4, 5}","{0, 3, 4, 6, 10, 11}","{0, 3, 4, 9, 10}","{0, 3, 4, 5, 10}","{0, 3, 4, 6, 7, 11}","{0, 1, 5, 8}",0.8,0.4,0.33333333333333337,0.09523809523809523,0.0,0.0,0.19999999999999996,0.06666666666666665,0.33333333333333337,0.09523809523809523,0.0,0.0
15,16,"{0, 3, 4, 6, 10}","{0, 1, 3, 5, 11}","{0, 3, 5, 6, 9, 11}","{0, 3, 4, 6, 7, 11}","{0, 3, 5, 7, 10, 11}","{0, 3, 4, 8, 9, 10}",0.0,0.0,0.4,0.19999999999999996,0.0,0.0,0.33333333333333337,0.09523809523809523,0.0,0.0,0.33333333333333337,0.09523809523809523
16,17,"{0, 1, 3, 10, 11}","{0, 3, 5, 6, 8, 11}","{0, 3, 4, 6, 8}","{0, 1, 10, 3}","{0, 3, 4, 5, 10}","{0, 3, 4, 6, 10}",0.4,0.19999999999999996,0.0,0.0,0.0,0.0,0.25,0.09999999999999998,0.19999999999999996,0.06666666666666665,0.0,0.0
17,18,"{0, 1, 3, 6, 11}","{0, 1, 3, 6}","{0, 3, 4, 6, 10, 11}","{0, 3, 4, 6, 8}","{0, 3, 4, 8, 10, 11}","{0, 1, 11, 4}",0.4,0.19999999999999996,0.25,0.09999999999999998,0.33333333333333337,0.09523809523809523,0.0,0.0,0.16666666666666663,0.04761904761904767,0.25,0.09999999999999998
18,19,"{0, 1, 3, 4, 5, 11}","{0, 3, 4, 5, 6, 11}","{0, 3, 4, 5, 6}","{0, 3, 4, 8, 10, 11}","{0, 3, 4, 6, 8}","{0, 1, 3, 11}",0.8333333333333334,0.5238095238095238,0.5,0.19047619047619047,0.19999999999999996,0.06666666666666665,0.16666666666666663,0.04761904761904767,0.0,0.0,0.25,0.09999999999999998
19,20,"{0, 1, 11, 4}","{0, 1, 3, 8}","{0, 3, 4, 6, 7, 11}","{0, 3, 4, 6, 10, 11}","{0, 4, 5, 6, 8, 11}","{0, 4, 5, 6, 9, 11}",0.25,0.09999999999999998,0.25,0.09999999999999998,0.33333333333333337,0.09523809523809523,0.33333333333333337,0.09523809523809523,0.0,0.0,0.0,0.0
20,21,"{0, 1, 3, 8}","{0, 3, 4, 6, 8}","{0, 1, 3, 5}","{0, 3, 4, 6, 9}","{0, 1, 5, 8}","{0, 1, 5, 9}",0.25,0.09999999999999998,0.0,0.0,0.25,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
21,22,"{0, 3, 4, 6, 10, 11}","{0, 3, 4, 5, 10, 11}","{0, 3, 4, 6, 9}","{0, 3, 4, 9, 10, 11}","{0, 3, 4, 9, 10, 11}","{0, 3, 5, 6, 7, 10, 11}",0.33333333333333337,0.09523809523809523,0.33333333333333337,0.1428571428571429,0.0,0.0,0.16666666666666663,0.04761904761904767,0.16666666666666663,0.04761904761904767,0.2857142857142857,0.0714285714285714
22,23,"{0, 3, 4, 5, 10}","{0, 1, 3, 10, 11}","{0, 1, 3, 8}","{0, 3, 5, 7, 10, 11}","{0, 1, 10, 3}","{0, 3, 4, 8, 10, 11}",0.19999999999999996,0.06666666666666665,0.4,0.19999999999999996,0.25,0.09999999999999998,0.0,0.0,0.25,0.09999999999999998,0.16666666666666663,0.04761904761904767
23,24,"{0, 3, 4, 5, 10, 11}","{0, 1, 3, 4}","{0, 3, 4, 8, 10, 11}","{0, 3, 4, 5, 6}","{0, 3, 4, 6, 9}","{0, 3, 5, 7, 8, 11}",0.33333333333333337,0.1428571428571429,0.5,0.19999999999999996,0.16666666666666663,0.04761904761904767,0.19999999999999996,0.06666666666666665,0.0,0.0,0.0,0.0
24,25,"{0, 1, 3, 4, 6}","{0, 3, 4, 8, 10}","{0, 3, 4, 5, 10, 11}","{0, 1, 3, 8}","{0, 3, 4, 8, 9, 10}","{0, 3, 4, 9, 10, 11}",0.6,0.33333333333333337,0.0,0.0,0.33333333333333337,0.1428571428571429,0.25,0.09999999999999998,0.33333333333333337,0.09523809523809523,0.16666666666666663,0.04761904761904767
25,26,"{0, 3, 5, 6, 10, 11}","{0, 3, 4, 6, 9}","{0, 1, 3, 10, 11}","{0, 3, 4, 5, 10, 11}","{0, 3, 4, 6, 10, 11}","{0, 1, 5, 10, 11}",0.0,0.0,0.0,0.0,0.4,0.19999999999999996,0.33333333333333337,0.1428571428571429,0.33333333333333337,0.09523809523809523,0.0,0.0
26,27,"{0, 1, 3, 8, 11}","{0, 3, 4, 9, 10}","{0, 3, 4, 5, 8}","{0, 3, 4, 5, 8}","{0, 4, 5, 6, 9, 11}","{0, 3, 5, 6, 8, 9, 11}",0.4,0.19999999999999996,0.0,0.0,0.19999999999999996,0.06666666666666665,0.19999999999999996,0.06666666666666665,0.0,0.0,0.2857142857142857,0.0714285714285714
27,28,"{0, 1, 3, 4, 6, 11}","{0, 3, 5, 6, 9, 11}","{0, 1, 3, 6}","{0, 3, 4, 5, 9}","{0, 1, 5, 9}","{0, 3, 5, 7, 9, 11}",0.8333333333333334,0.47619047619047616,0.0,0.0,0.25,0.09999999999999998,0.19999999999999996,0.06666666666666665,0.0,0.0,0.0,0.0
28,29,"{0, 3, 4, 6, 8}","{0, 3, 4, 5, 8}","{0, 3, 4, 9, 10, 11}","{0, 1, 3, 5}","{0, 3, 4, 7, 10}","{0, 3, 4, 5, 10}",0.0,0.0,0.19999999999999996,0.06666666666666665,0.16666666666666663,0.04761904761904767,0.25,0.09999999999999998,0.0,0.0,0.19999999999999996,0.06666666666666665
29,30,"{0, 1, 3, 4, 10}","{0, 1, 3, 4, 11}","{0, 3, 4, 5, 9}","{0, 1, 3, 10, 11}","{0, 3, 5, 7, 8, 11}","{0, 1, 6, 10, 11}",0.6,0.33333333333333337,0.6,0.33333333333333337,0.19999999999999996,0.06666666666666665,0.4,0.19999999999999996,0.0,0.0,0.0,0.0
