,ranking,f_0_rank_descending,f_1_rank_descending,f_2_rank_descending,f_3_rank_descending,f_5_rank_descending,f_10_rank_descending,f_0_u1_robust,f_0_u2_robust,f_1_u1_robust,f_1_u2_robust,f_2_u1_robust,f_2_u2_robust,f_3_u1_robust,f_3_u2_robust,f_5_u1_robust,f_5_u2_robust,f_10_u1_robust,f_10_u2_robust
0,1,"{0, 1, 3}","{0, 1, 3}","{0, 1, 3}","{0, 1, 3}","{0, 1, 3}","{0, 3, 4, 5}",0.7321549958442873,0.3924723722396028,0.8269091182333784,0.5654228334637665,0.8949326812061975,0.7167556150572146,0.9250900594447077,0.7916843188450668,0.9783068724411206,0.9363221840656362,0.8496731421740907,0.521203786766163
1,2,"{0, 1, 3, 11}","{0, 3, 4, 6, 11}","{0, 3, 4, 6, 11}","{0, 3, 4, 6, 11}","{0, 3, 4, 5}","{0, 1, 4}",0.730224101668871,0.1612753490574529,0.0,0.0,0.0,0.0,0.0,0.0,0.8770328413321123,0.5916480329654124,1.0,1.0
2,3,"{0, 3, 4, 6, 11}","{0, 1, 3, 11}","{0, 3, 4, 5}","{0, 3, 4, 5}","{0, 3, 4, 6, 11}","{0, 1, 3}",0.0,0.0,0.8165734887724704,0.20087325509704895,0.8906595169836569,0.6292842343387345,0.8842667560346463,0.6114109215029427,0.0,0.0,1.0,1.0
3,4,"{0, 1, 3, 5}","{0, 3, 4, 5}","{0, 1, 3, 11}","{0, 1, 4}","{0, 1, 4}","{0, 3, 5, 6, 10, 11}",0.752388751086094,0.3167540305154381,0.8960623075104869,0.6446928254925043,0.8708338854205985,0.22289882316959797,0.9785132057200676,0.9369147440722736,1.0,1.0,0.0,0.0
4,5,"{0, 1, 3, 4}","{0, 3, 4, 5, 11}","{0, 1, 4}","{0, 1, 3, 11}","{0, 3, 5, 6, 10, 11}","{0, 3, 4, 6, 11}",0.8662331532168756,0.3790361746289053,0.9104008089251002,0.06068887256800741,0.9588453528370671,0.8815474696295399,0.8997880977920496,0.21963043088218873,0.0,0.0,0.022556290982708962,5.8389995581520586e-09
5,6,"{0, 1, 3, 5, 11}","{0, 1, 4}","{0, 3, 4, 5, 11}","{0, 3, 5, 6, 10, 11}","{0, 3, 4, 8, 10}","{0, 3, 4, 8, 10}",0.7480331460878561,0.14527406870705017,0.9340420600645122,0.8148905830058626,0.9021647097669651,0.048904797126803,0.0,0.0,0.0,0.0,0.0,0.0
6,7,"{0, 1, 3, 4, 11}","{0, 3, 5, 6, 10, 11}","{0, 3, 5, 6, 10, 11}","{0, 3, 4, 5, 11}","{0, 1, 3, 11}","{0, 3, 4, 9, 10}",0.885301120546641,0.21253571229917467,0.0,0.0,0.0,0.0,0.8932931526950949,0.03958994234970539,0.9509252342801869,0.21453035885467958,0.0,0.0
7,8,"{0, 3, 4, 5, 11}","{0, 3, 4, 6, 10}","{0, 3, 4, 6, 10}","{0, 3, 4, 6, 10}","{0, 3, 4, 5, 11}","{0, 3, 4, 7, 11}",0.9380948287910827,0.09212484877657875,0.0,0.0,0.0,0.0,0.0,0.0,0.8820037096732647,0.02846708641598381,0.0,0.0
8,9,"{0, 3, 4, 5}","{0, 1, 3, 5}","{0, 1, 11, 4}","{0, 3, 4, 8, 10}","{0, 3, 4, 9, 10}","{0, 3, 5, 6, 8, 11}",0.9201128294149745,0.7167444603016905,0.8208625276996222,0.3989515505335303,0.9455072157871535,0.4147741823762741,0.0,0.0,0.0,0.0,0.0,0.0
9,10,"{0, 3, 4, 5, 6}","{0, 1, 11, 4}","{0, 3, 4, 7, 11}","{0, 3, 4, 7, 11}","{0, 3, 4, 7, 11}","{0, 3, 5, 7, 10, 11}",0.915644519283726,0.0,0.922783098740958,0.4409245986974046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,"{0, 3, 4, 5, 6, 11}","{0, 1, 10, 3}","{0, 3, 5, 6, 8, 11}","{0, 1, 11, 4}","{0, 3, 5, 6, 8, 11}","{0, 3, 4, 5, 11}",0.8951461965917917,0.0,0.7787462298393938,0.0,0.0,0.0,0.963397816432041,0.38458435810920716,0.0,0.0,0.8477200372676565,0.013172389474375748
11,12,"{0, 1, 3, 6}","{0, 3, 4, 5, 6}","{0, 3, 4, 8, 10}","{0, 3, 5, 6, 8, 11}","{0, 3, 4, 6, 10}","{0, 3, 5, 6, 9, 11}",0.6948574683853836,0.0,0.8968077092192182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,"{0, 1, 10, 3}","{0, 3, 4, 5, 10}","{0, 1, 10, 3}","{0, 3, 4, 9, 10}","{0, 1, 11, 4}","{0, 3, 4, 6, 7, 11}",0.7281189516875045,0.0,0.9421805900104073,0.0,0.8166055131446807,0.0,0.0,0.0,0.9965212751765763,0.34153943372330864,0.5591262265335489,0.0
13,14,"{0, 1, 4}","{0, 3, 4, 7, 11}","{0, 3, 4, 5, 10}","{0, 3, 5, 6, 9, 11}","{0, 3, 5, 6, 9, 11}","{0, 4, 5, 6, 8, 11}",0.8951116623113228,0.7171857413880209,0.0,0.0,0.9540378882887071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
