,ranking,f_0_rank_descending,f_1_rank_descending,f_2_rank_descending,f_3_rank_descending,f_5_rank_descending,f_10_rank_descending,f_0_u1_robust,f_0_u2_robust,f_1_u1_robust,f_1_u2_robust,f_2_u1_robust,f_2_u2_robust,f_3_u1_robust,f_3_u2_robust,f_5_u1_robust,f_5_u2_robust,f_10_u1_robust,f_10_u2_robust
14,15,"{0, 1, 3, 4, 5}","{0, 3, 4, 6, 10, 11}","{0, 3, 4, 9, 10}","{0, 3, 4, 5, 10}","{0, 3, 4, 6, 7, 11}","{0, 1, 5, 8}",1.0,0.4196691986182415,0.0,0.0,0.0,0.0,0.9458089652365094,0.0,0.6406861673758352,0.0,0.0,0.0
15,16,"{0, 3, 4, 6, 10}","{0, 1, 3, 5, 11}","{0, 3, 5, 6, 9, 11}","{0, 3, 4, 6, 7, 11}","{0, 3, 5, 7, 10, 11}","{0, 3, 4, 8, 9, 10}",0.0,0.0,0.8100210908468374,0.15212979285912942,0.0,0.0,0.6552452007814131,0.0,0.0,0.0,0.0,0.0
16,17,"{0, 1, 3, 10, 11}","{0, 3, 5, 6, 8, 11}","{0, 3, 4, 6, 8}","{0, 1, 10, 3}","{0, 3, 4, 5, 10}","{0, 3, 4, 6, 10}",0.7184333724925278,0.0,0.0,0.0,0.0,0.0,0.8478668577922794,0.0,0.9270176619398667,0.0,0.0,0.0
17,18,"{0, 1, 3, 6, 11}","{0, 1, 3, 6}","{0, 3, 4, 6, 10, 11}","{0, 3, 4, 6, 8}","{0, 3, 4, 8, 10, 11}","{0, 1, 11, 4}",0.6830380519790917,0.0,0.7318905758976214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20075309232280417
18,19,"{0, 1, 3, 4, 5, 11}","{0, 3, 4, 5, 6, 11}","{0, 3, 4, 5, 6}","{0, 3, 4, 8, 10, 11}","{0, 3, 4, 6, 8}","{0, 1, 3, 11}",1.0,0.34615013671738265,0.90532494555693,0.0,0.9058848017098322,0.0,0.0,0.0,0.0,0.0,1.0,0.15521434673696974
19,20,"{0, 1, 11, 4}","{0, 1, 3, 8}","{0, 3, 4, 6, 7, 11}","{0, 3, 4, 6, 10, 11}","{0, 4, 5, 6, 8, 11}","{0, 4, 5, 6, 9, 11}",0.9005361096791504,0.5047868662918269,0.7869228087811357,0.0,0.6639937695372887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,"{0, 1, 3, 8}","{0, 3, 4, 6, 8}","{0, 1, 3, 5}","{0, 3, 4, 6, 9}","{0, 1, 5, 8}","{0, 1, 5, 9}",0.7397038276243969,0.0,0.0,0.0,0.8683418429529441,0.4743366653743539,0.0,0.0,0.0,0.0,0.0,0.0
21,22,"{0, 3, 4, 6, 10, 11}","{0, 3, 4, 5, 10, 11}","{0, 3, 4, 6, 9}","{0, 3, 4, 9, 10, 11}","{0, 3, 4, 9, 10, 11}","{0, 3, 5, 6, 7, 10, 11}",0.0,0.0,0.9280161998521864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,"{0, 3, 4, 5, 10}","{0, 1, 3, 10, 11}","{0, 1, 3, 8}","{0, 3, 5, 7, 10, 11}","{0, 1, 10, 3}","{0, 3, 4, 8, 10, 11}",0.9567325791530744,0.0,0.7569424172744987,0.0,0.8228055497094181,0.0,0.0,0.0,0.9026156425918194,0.0,0.0,0.0
23,24,"{0, 3, 4, 5, 10, 11}","{0, 1, 3, 4}","{0, 3, 4, 8, 10, 11}","{0, 3, 4, 5, 6}","{0, 3, 4, 6, 9}","{0, 3, 5, 7, 8, 11}",0.9355930310377236,0.0,0.9256766793878174,0.48738010824395644,0.0,0.0,0.9096463545907952,0.0,0.0,0.0,0.0,0.0
24,25,"{0, 1, 3, 4, 6}","{0, 3, 4, 8, 10}","{0, 3, 4, 5, 10, 11}","{0, 1, 3, 8}","{0, 3, 4, 8, 9, 10}","{0, 3, 4, 9, 10, 11}",0.9660201276579317,0.0,0.0,0.0,0.9369822193563871,0.0,0.8523411651742479,0.0,0.0,0.0,0.0,0.0
25,26,"{0, 3, 5, 6, 10, 11}","{0, 3, 4, 6, 9}","{0, 1, 3, 10, 11}","{0, 3, 4, 5, 10, 11}","{0, 3, 4, 6, 10, 11}","{0, 1, 5, 10, 11}",0.0,0.0,0.0,0.0,0.7935702755641774,0.0,0.9405240658750245,0.0,0.0010622925782823036,0.0,0.0,0.0
26,27,"{0, 1, 3, 8, 11}","{0, 3, 4, 9, 10}","{0, 3, 4, 5, 8}","{0, 3, 4, 5, 8}","{0, 4, 5, 6, 9, 11}","{0, 3, 5, 6, 8, 9, 11}",0.7300949593136518,0.0,0.0,0.0,0.9629797577256283,0.0,0.9537963692685534,0.0,0.0,0.0,0.1830283731132286,0.0
27,28,"{0, 1, 3, 4, 6, 11}","{0, 3, 5, 6, 9, 11}","{0, 1, 3, 6}","{0, 3, 4, 5, 9}","{0, 1, 5, 9}","{0, 3, 5, 7, 9, 11}",1.0,0.0,0.0,0.0,0.7689574275616601,9.073773533336712e-08,0.9582803944277585,0.0,0.0,0.0,0.0,0.0
28,29,"{0, 3, 4, 6, 8}","{0, 3, 4, 5, 8}","{0, 3, 4, 9, 10, 11}","{0, 1, 3, 5}","{0, 3, 4, 7, 10}","{0, 3, 4, 5, 10}",0.0,0.0,0.9539369971812235,0.0,0.0,0.0,0.8911118277084903,0.4996558706404108,0.0,0.0,0.8793068642910072,0.0
29,30,"{0, 1, 3, 4, 10}","{0, 1, 3, 4, 11}","{0, 3, 4, 5, 9}","{0, 1, 3, 10, 11}","{0, 3, 5, 7, 8, 11}","{0, 1, 6, 10, 11}",0.9445527053490632,0.0,0.9392216829171375,0.23920517493053894,0.9535099270443356,0.0,0.8238080402616244,0.0,0.0,0.0,0.0,0.0
