Run,Time,Completed,Visited,Terminal,Loops,Branching Factor,Branching @ 0,Branching @ 1,A Power,B Power,C Power,A-X Position,A-Y Position,A-Z Position,B-X Position,B-Y Position,B-Z Position,C-X Position,C-Y Position,C-Z Position,Terminal,Depth,Step,Terminal,Depth,Step,Estimated Path Length,Estimated Path Nodes
0,0.002599954605102539,True,2,1,0,0.5,1.0,0.0,0.1963944768312468,0.4553352904606882,0.34827023270806495,-0.8581896069300705,-0.9595680268465976,0.9934395770080358,-0.6198943058903057,-0.8952762130719565,0.577546267128562,0.21417056089237785,0.526161801119017,-0.2972766509012419,AB C,1,1,,,,2,A B C,AB C
1,0.002549886703491211,True,2,1,0,0.5,1.0,0.0,0.45534544599014615,0.24502583946457734,0.2996287145452765,-0.42171895751379473,-0.4877383176875185,0.014040575558907475,0.23968741464166876,0.032853316347568384,-0.2397795445160389,-0.9357668459004091,-0.40181620294308273,-0.04680572303117336,AC B,1,1,,,,2,A B C,AC B
2,0.0018680095672607422,True,1,1,0,0.0,0.0,0.0,0.41493855687650505,0.40587987480400267,0.17918156831949214,-0.24708414175898308,0.5458652353175786,0.5007044071949274,-0.4251464526125448,-0.9937825137457323,-0.06201572493909646,-0.9026706806892255,-0.05948713595515942,-0.6512672110205933,A B C,0,0,,,,1,A B C
3,0.0026140213012695312,True,2,1,0,0.5,1.0,0.0,0.03722530432585605,0.26391949697701056,0.6988551986971334,0.8165958783574478,-0.9177055694669056,0.262590647957867,0.7067029308200989,0.4323006236913063,-0.7005693991067985,0.2955479102233345,-0.912567373749029,0.5533007186670218,AC B,1,1,,,,2,A B C,AC B
4,0.001859903335571289,True,1,1,0,0.0,0.0,0.0,0.06217138785813405,0.9310309444244986,0.00679766771736731,-0.7225249787130423,-0.08424467319028306,-0.2447729607637097,0.928558475443886,-0.7630219829588469,-0.614242125628905,0.5432205056991173,-0.5941309521208373,0.3014218525386161,A B C,0,0,,,,1,A B C
5,0.001878976821899414,True,1,1,0,0.0,0.0,0.0,0.013100215614430793,0.6469986761088213,0.3399011082767479,-0.040771269021127265,-0.381416047732845,-0.7246743755769529,0.2030501173726169,0.7135707376821203,-0.30714332827955193,-0.3309273657119072,-0.11965622359519767,0.8790335701915946,A B C,0,0,,,,1,A B C
6,0.0018458366394042969,True,1,1,0,0.0,0.0,0.0,0.29992411934562707,0.3626225683712915,0.33745331228308145,-0.7088062448598937,0.0028541607144005887,-0.31000793435862506,-0.0755166598209085,-0.7504055005551808,0.2639872025944685,0.7952990012570005,0.11665548816144722,-0.40487892348144205,A B C,0,0,,,,1,A B C
7,0.003203868865966797,True,2,1,0,0.5,1.0,0.0,0.22418777101873746,0.40313265144742494,0.37267957753383746,-0.26434897586063566,0.06524696704087907,-0.9515875139536745,-0.7377836003042944,-0.31064921984187355,-0.07540199780244716,-0.917302998128025,0.1266204521295775,0.6428311429705256,A BC,1,1,,,,2,A B C,A BC
8,0.003942966461181641,True,2,1,0,0.5,1.0,0.0,0.01461822033016262,0.4057942305954667,0.5795875490743707,0.10982549504445349,0.04101729681796873,-0.6957341078002628,0.5359361202888671,0.46225702698358817,-0.6671170485554452,-0.7428600905637335,0.6646675175705592,0.5281912852899582,AB C,1,1,,,,2,A B C,AB C
9,0.0018990039825439453,True,1,1,0,0.0,0.0,0.0,0.48913063284359126,0.2286462728012641,0.2822230943551447,-0.36553677955968844,-0.06836019635645418,-0.75790739411035,0.006894913787076629,0.6148185398271908,0.24636330590414346,0.9452875124833855,0.6175641480392955,-0.7293395268856528,A B C,0,0,,,,1,A B C
